#	Termo buscado	Categoria	Intenção	Confiança
0	iphone	Eletrônicos e Tecnologia	Navegação por Marca ou Loja	alta
1	geladeira	Eletrodomésticos	Exploração de Categoria	alta
2	iphone 16	Eletrônicos e Tecnologia	Busca por Produto Específico	alta
3	notebook	Eletrônicos e Tecnologia	Exploração de Categoria	alta
4	iphone 15	Eletrônicos e Tecnologia	Busca por Produto Específico	alta
5	tenis	Moda e Vestuário	Exploração de Categoria	alta
6	celular	Eletrônicos e Tecnologia	Exploração de Categoria	alta
7	tv	Eletrônicos e Tecnologia	Exploração de Categoria	alta
8	samsung	Marcas e Lojas	Navegação por Marca ou Loja	alta
9	microondas	Eletrodomésticos	Exploração de Categoria	alta
